month,tk_pm_count,tk_polls_count,tk_total,tk_polls_share,tk_pm_views,tk_polls_views,tk_polls_view_share,yt_pm_count,yt_polls_count,yt_total,yt_polls_share,yt_pm_views,yt_polls_views,yt_polls_view_share
2025-03,1,3,4,0.7500,627,4289,0.8725,25,13,38,0.3421,1077631,660293,0.3799
2025-04,1,7,8,0.8750,2737,930249,0.9971,40,19,59,0.3220,1139023,3439673,0.7512
2025-05,1,1,2,0.5000,1042,920,0.4689,19,5,24,0.2083,507205,64301,0.1125
2025-06,6,9,15,0.6000,417750,376001,0.4737,37,13,50,0.2600,1518483,528584,0.2582
2025-07,14,7,21,0.3333,75159,100367,0.5718,71,20,91,0.2198,3281231,1137814,0.2575
2025-08,15,9,24,0.3750,351355,37374,0.0961,77,24,101,0.2376,2963508,909530,0.2348
2025-09,5,10,15,0.6667,177611,79279,0.3086,57,17,74,0.2297,2925203,1065891,0.2671
2025-10,42,18,60,0.3000,853535,113998,0.1178,133,33,166,0.1988,10860070,3437405,0.2404
2025-11,27,16,43,0.3721,2114356,836193,0.2834,132,68,200,0.3400,5430238,6714625,0.5529
2025-12,37,11,48,0.2292,3309350,2088208,0.3869,165,50,215,0.2326,8667754,4709355,0.3520
2026-01,31,15,46,0.3261,8369902,1517002,0.1534,202,43,245,0.1755,7971467,4437033,0.3576
2026-02,56,19,75,0.2533,1196636,2080115,0.6348,232,53,285,0.1860,10151162,8911450,0.4675
2026-03,147,21,168,0.1250,3112821,5582542,0.6420,550,66,616,0.1071,27619545,8194101,0.2288
2026-04,41,34,75,0.4533,376730,1779853,0.8253,16,83,99,0.8384,636005,9785452,0.9390
